step,cosine_similarity
1,-0.08812649548053741
2,-0.029438523575663567
3,0.14320175349712372
4,0.022339558228850365
5,0.0034363928716629744
6,0.09527947753667831
7,0.20653513073921204
8,0.0746685266494751
9,0.09402471780776978
10,0.10778198391199112
11,0.20304742455482483
12,0.05094014108181
13,0.12578657269477844
14,0.27486440539360046
15,0.08807040005922318
16,0.015719875693321228
17,0.017429836094379425
18,0.028101304545998573
19,0.1894502341747284
20,0.20582623779773712
21,0.16367609798908234
22,-0.24373754858970642
23,-0.09088314324617386
24,0.08258812129497528
25,0.16965773701667786
26,0.1983887255191803
27,0.2869069576263428
28,0.17597095668315887
29,0.1946353316307068
30,0.15982626378536224
31,0.011958773247897625
32,-0.09716515988111496
33,0.1772906333208084
34,0.327834814786911
35,0.16299855709075928
36,0.09799136221408844
37,0.07600495219230652
38,0.03553124889731407
39,0.19442948698997498
40,0.3790302574634552
41,0.11542285978794098
42,-0.045429527759552
43,-0.18775779008865356
44,0.2821544110774994
45,-0.0008664009510539472
46,-0.06833577901124954
47,0.04690680652856827
48,0.14852753281593323
49,-0.001675317995250225
50,0.17606480419635773
51,0.3694438934326172
52,-0.24764245748519897
53,-0.22036951780319214
54,0.0673576220870018
55,0.04108860343694687
56,-0.07142244279384613
57,-0.030080661177635193
58,0.029612403362989426
59,0.23122024536132812
60,-0.2902131974697113
61,-0.02496570721268654
62,0.07562999427318573
63,0.16296257078647614
64,0.11566923558712006
65,-0.10784970223903656
66,0.3706931173801422
67,0.2685999572277069
68,-0.10543505847454071
69,-0.3060090243816376
70,-0.14683568477630615
71,0.19908127188682556
72,0.05982670560479164
73,0.07818783819675446
74,0.5970881581306458
75,-0.13128526508808136
76,0.47874751687049866
77,0.40118199586868286
78,-0.431115061044693
79,-0.1439998596906662
80,-0.0483434796333313
81,0.1655675172805786
82,-0.024114081636071205
83,0.35896265506744385
84,0.41647982597351074
85,-0.0599215030670166
86,0.25425204634666443
87,-0.04331463575363159
88,-0.15004205703735352
89,0.1942097395658493
90,0.18564346432685852
91,0.2797890305519104
92,0.20312222838401794
93,0.17729103565216064
94,-0.1413569152355194
95,0.26922541856765747
96,0.45723339915275574
97,-0.10407304763793945
98,0.41253721714019775
99,-0.0610438771545887
100,0.3319891095161438
101,-0.008639772422611713
102,0.09248169511556625
103,0.3143680989742279
104,0.5245336294174194
105,0.23623910546302795
106,0.2539462447166443
107,0.28746938705444336
108,0.288777232170105
109,0.2004319131374359
110,-0.14032895863056183
111,-0.004438300151377916
112,-0.03345702961087227
113,0.1334162950515747
114,0.08520001173019409
115,0.09282026439905167
116,0.1722591519355774
117,0.024425344541668892
118,0.02289009466767311
119,0.06406942754983902
120,0.18744339048862457
121,0.035763561725616455
122,0.3966622054576874
123,0.21401798725128174
124,-0.023500174283981323
125,0.0857975110411644
126,0.16967983543872833
127,-0.019631577655673027
128,0.3969680964946747
129,0.03318729251623154
130,0.22240164875984192
131,0.3697294592857361
132,0.16847968101501465
133,0.46098119020462036
134,0.11189835518598557
135,0.15840108692646027
136,0.014048827812075615
137,0.1454780101776123
138,-0.05483953282237053
139,-0.15287670493125916
140,-0.09944530576467514
141,-0.08322413265705109
142,0.34562140703201294
143,-0.09840787947177887
144,0.37574002146720886
145,0.13157698512077332
146,0.02238275669515133
147,0.18102949857711792
148,0.06818060576915741
149,0.10148966312408447
150,-0.04512745887041092
151,-0.15208639204502106
152,0.22710300981998444
153,0.11843915283679962
154,0.3601565957069397
155,0.04928212612867355
156,0.23661980032920837
157,0.5896759033203125
158,0.25111857056617737
159,0.22581997513771057
160,0.05344396457076073
161,-0.028935253620147705
162,0.3034287393093109
163,0.25358009338378906
164,-0.018126051872968674
165,0.29851508140563965
166,0.5067895650863647
167,0.17172525823116302
168,-0.16109518706798553
169,0.45103803277015686
170,0.18359138071537018
171,0.10706678777933121
172,0.2345210462808609
173,0.2251586616039276
174,0.28912240266799927
175,0.14968393743038177
176,0.29316458106040955
177,-0.05090038850903511
178,0.26746100187301636
179,0.006997144781053066
180,0.23712624609470367
181,0.18886065483093262
182,0.19430512189865112
183,0.08277303725481033
184,0.1187852993607521
185,0.6011992692947388
186,-0.022287171334028244
187,0.05053360015153885
188,0.2602854073047638
189,-0.044165413826704025
190,0.22803881764411926
191,0.16744209825992584
192,0.4616735875606537
193,0.2438395768404007
194,0.12453515082597733
195,0.38622793555259705
196,0.42253831028938293
197,0.3799115717411041
198,0.27166539430618286
199,0.08087121695280075
200,0.697571337223053
201,0.25764840841293335
202,-0.027934551239013672
203,0.17441126704216003
204,0.1661836802959442
205,0.01835136115550995
206,0.08944801241159439
207,0.35605350136756897
208,0.3360191881656647
209,0.2791980504989624
210,0.22803150117397308
211,0.2963857352733612
212,0.14665766060352325
213,-0.10362795740365982
214,0.16568346321582794
215,-0.009784127585589886
216,0.39383670687675476
217,0.2514949440956116
218,0.03781500831246376
219,0.23945821821689606
220,0.29413411021232605
221,-0.27259552478790283
222,0.001857998315244913
223,0.6684373617172241
224,0.5524985790252686
225,0.41750475764274597
226,0.16753384470939636
227,0.1100972592830658
228,0.107328861951828
229,0.09086766839027405
230,-0.06487245112657547
231,0.386451780796051
232,0.07270108163356781
233,0.2092858850955963
234,-0.0440627746284008
235,0.248890683054924
236,0.2999243140220642
237,0.04017164185643196
238,0.282436728477478
239,0.3224015533924103
240,0.3790874779224396
241,0.0019236031221225858
242,0.3748929798603058
243,0.3075345456600189
244,-0.058627475053071976
245,0.10799863189458847
246,0.14031203091144562
247,0.0760425478219986
248,0.4880524277687073
249,0.5157335996627808
250,-0.056591447442770004
251,0.37414923310279846
252,0.29512831568717957
253,0.02853982150554657
254,0.17873112857341766
255,0.07121246308088303
256,0.4012088179588318
257,0.04206958785653114
258,0.35791733860969543
259,0.22198650240898132
260,0.14421747624874115
261,0.32091259956359863
262,0.1721303015947342
263,0.20013955235481262
264,0.33605682849884033
265,0.430245965719223
266,0.10321824252605438
267,0.12337857484817505
268,0.3751901686191559
269,0.30598723888397217
270,0.38363081216812134
271,0.027045901864767075
272,0.02598167583346367
273,0.28376269340515137
274,-0.196206733584404
275,-0.12989814579486847
276,0.02223912999033928
277,0.1174028217792511
278,0.406815767288208
279,0.3381515443325043
280,0.2518853545188904
281,0.10830716043710709
282,0.07247279584407806
283,0.037641774863004684
284,0.18484610319137573
285,-0.056935276836156845
286,-0.36347538232803345
287,0.22727195918560028
288,-0.06808702647686005
289,0.06729186326265335
290,0.41510283946990967
291,0.5243105888366699
292,0.20911891758441925
293,0.4201638996601105
294,0.00760280154645443
295,0.3155074417591095
296,0.152868390083313
297,0.36889082193374634
298,0.1694161295890808
299,0.1552564650774002
300,0.0443236380815506
301,0.27581116557121277
302,0.3303574025630951
303,-0.10054593533277512
304,0.1775038242340088
305,-0.028776157647371292
306,0.24982120096683502
307,0.17752675712108612
308,0.03229810670018196
309,0.2684783339500427
310,0.3292470872402191
311,0.40182918310165405
312,0.5718087553977966
313,0.04116509109735489
314,0.1757873147726059
315,0.15277259051799774
316,0.4288155436515808
317,0.5010911822319031
318,0.13876572251319885
319,0.3233220875263214
320,0.4337875545024872
321,0.1884423941373825
322,0.5578063726425171
323,0.0049107810482382774
324,0.32301652431488037
325,-0.1513006091117859
326,0.13752473890781403
327,-0.26787054538726807
328,0.43920615315437317
329,0.267464816570282
330,0.39668428897857666
331,0.345536470413208
332,0.352138876914978
333,0.3805844187736511
334,-0.17645016312599182
335,0.037246860563755035
336,0.38045287132263184
337,0.22344057261943817
338,0.24024538695812225
339,0.12962643802165985
340,0.31191420555114746
341,0.3903904855251312
342,0.4422282874584198
343,0.24747322499752045
344,0.10028150677680969
345,0.1966256946325302
346,0.14924149215221405
347,0.4239092469215393
348,0.534604549407959
349,0.173286572098732
350,0.1659732162952423
351,-0.10129692405462265
352,0.43328115344047546
353,0.04360233619809151
354,0.1477242112159729
355,0.22620980441570282
356,0.15642857551574707
357,0.515667736530304
358,-0.26187896728515625
359,0.5370852947235107
360,0.005721184890717268
361,0.04188795015215874
362,0.3698868453502655
363,0.2680220305919647
364,0.4542020857334137
365,-0.028016667813062668
366,0.5362585186958313
367,0.38201865553855896
368,0.3542267084121704
369,0.17358842492103577
370,0.5229347348213196
371,0.0822526067495346
372,0.09747575223445892
373,0.5659182071685791
374,0.21290352940559387
375,0.4024392366409302
376,0.31555265188217163
377,0.3846336603164673
378,0.5931172370910645
379,0.5185929536819458
380,0.5060569047927856
381,0.054290201514959335
382,0.08920450508594513
383,0.2188381850719452
384,0.06630115211009979
385,0.11383204907178879
386,0.36689338088035583
387,-0.05851161107420921
388,0.40447697043418884
389,0.22083288431167603
390,0.03924353048205376
391,-0.05142071470618248
392,0.05809886381030083
393,0.3252115249633789
394,-0.058125317096710205
395,0.2622719705104828
396,0.3699948787689209
397,0.25771987438201904
398,0.33031073212623596
399,-0.060900185257196426
400,0.22734113037586212
401,0.35110390186309814
402,0.6399654150009155
403,-0.16503220796585083
404,0.202116921544075
405,0.20013776421546936
406,0.44530442357063293
407,0.22657117247581482
408,0.27924925088882446
409,0.14961875975131989
410,0.2202034592628479
411,0.11899776756763458
412,0.2446444183588028
413,0.16323405504226685
414,0.5874424576759338
415,0.3768424391746521
416,0.31549009680747986
417,0.3346909284591675
418,0.30673298239707947
419,0.5810113549232483
420,0.3375074863433838
421,-0.03351479396224022
422,-0.0958012044429779
423,0.6489980220794678
424,0.22416937351226807
425,0.3702545762062073
426,0.13687936961650848
427,0.23256438970565796
428,0.23834894597530365
429,0.5405039191246033
430,0.5541115403175354
431,-0.0009686544071882963
432,0.5093896985054016
433,0.3463873863220215
434,0.4694240987300873
435,0.3624882698059082
436,0.23847080767154694
437,0.110837422311306
438,0.2380015105009079
439,0.24120508134365082
440,0.20069709420204163
441,0.13843601942062378
442,0.7029030919075012
443,0.023502733558416367
444,0.04531783610582352
445,0.06240785866975784
446,0.029377803206443787
447,0.1853232979774475
448,0.14068154990673065
449,0.29821115732192993
450,0.19414667785167694
451,0.3282168507575989
452,0.1037115752696991
453,0.45428815484046936
454,0.04575946927070618
455,0.5328230261802673
456,0.20191729068756104
457,0.5310805439949036
458,0.19192519783973694
459,0.5226009488105774
460,0.45865902304649353
461,0.29855334758758545
462,0.40728768706321716
463,0.36914026737213135
464,0.2918112277984619
465,0.07292089611291885
466,-0.02372628264129162
467,0.15563566982746124
468,0.1561758667230606
469,0.45705509185791016
470,0.23519480228424072
471,0.3504508435726166
472,0.17391136288642883
473,0.3439045548439026
474,0.367511123418808
475,0.24915330111980438
476,0.18991532921791077
477,0.23979565501213074
478,0.23940107226371765
479,-0.09881352633237839
480,-0.028736835345625877
481,-0.10004167258739471
482,0.3006984293460846
483,0.5864301919937134
484,0.1252908706665039
485,-0.07096687704324722
486,0.38199615478515625
487,0.6238071918487549
488,0.316658079624176
489,0.16396751999855042
490,-0.07092738896608353
491,0.5477800965309143
492,0.1590968370437622
493,0.5144144892692566
494,0.5226515531539917
495,-0.00828237272799015
496,0.6657021641731262
497,0.43805795907974243
498,0.14314724504947662
499,0.08809539675712585
500,0.15790747106075287
501,0.6400723457336426
502,0.035380154848098755
503,0.09448064863681793
504,0.08520399034023285
505,0.12457045912742615
506,0.32942867279052734
507,-0.16255439817905426
508,0.3766537308692932
509,0.33626464009284973
510,0.23385556042194366
511,0.47008615732192993
512,0.14007414877414703
513,0.7261205315589905
514,0.28403666615486145
515,-0.13343545794487
516,0.4177892208099365
517,-0.15942028164863586
518,0.2802819609642029
519,0.25511041283607483
520,0.37533387541770935
521,0.2653435170650482
522,0.5971029996871948
523,0.37054458260536194
524,0.7136403322219849
525,0.21670515835285187
526,0.45923393964767456
527,0.14287211000919342
528,0.022218195721507072
529,0.2792203724384308
530,-0.03970711678266525
531,0.1079600602388382
532,0.579630434513092
533,0.4872102439403534
534,0.830209493637085
535,0.42179709672927856
536,-0.1036025807261467
537,0.5504264831542969
538,0.41049134731292725
539,0.45943185687065125
540,0.2769283354282379
541,0.15760725736618042
542,0.4135538935661316
543,0.4787083864212036
544,0.5975553393363953
545,0.3487986624240875
546,0.04267051815986633
547,0.5814809799194336
548,0.6348286271095276
549,-0.3217695653438568
550,0.5756915211677551
551,0.24061986804008484
552,-0.013525638729333878
553,0.4377903640270233
554,0.22682099044322968
555,0.26194310188293457
556,0.6877967715263367
557,0.13824845850467682
558,0.07982572168111801
559,0.1267884224653244
560,0.3617917001247406
561,0.2967672049999237
562,-0.0015158491441980004
563,0.1299518644809723
564,0.6225166320800781
565,0.25950220227241516
566,0.3925701975822449
567,0.23376430571079254
568,0.4044794738292694
569,0.573016881942749
570,-0.11964448541402817
571,-0.007674988359212875
572,0.2042302042245865
573,-0.18662568926811218
574,0.16849274933338165
575,0.5703164339065552
576,0.18697583675384521
577,0.2919861376285553
578,0.08003367483615875
579,0.6793400049209595
580,0.43206658959388733
581,0.4452851712703705
582,0.4696529507637024
583,0.38343000411987305
584,0.5715377926826477
585,0.18189382553100586
586,0.7617574334144592
587,0.8616822957992554
588,0.17837505042552948
589,0.26581650972366333
590,-0.019238358363509178
591,0.38056516647338867
592,-0.0008946647867560387
593,0.41936928033828735
594,0.6085566282272339
595,0.539312481880188
596,0.618086576461792
597,0.25351855158805847
598,0.08672882616519928
599,-0.012559630908071995
600,0.1442805379629135
601,0.4137919843196869
602,0.05189353972673416
603,0.035294774919748306
604,0.11817903071641922
605,0.17903020977973938
606,-0.15188324451446533
607,0.3738860785961151
608,-0.05718332901597023
609,0.4135288596153259
610,0.42765817046165466
611,0.46814945340156555
612,0.1650858372449875
613,0.2743612825870514
614,0.4838272035121918
615,0.0545271560549736
616,0.7489286065101624
617,0.6912921071052551
618,0.5437718033790588
619,0.7390694618225098
620,0.6495856046676636
621,0.18285682797431946
622,0.2822228968143463
623,0.0314626544713974
624,0.31787949800491333
625,0.5960851907730103
626,-0.021482128649950027
627,0.2049403190612793
628,0.2410886138677597
629,0.18474853038787842
630,0.39228761196136475
631,0.9300482273101807
632,0.08176332712173462
633,0.37876957654953003
634,0.3421842157840729
635,0.598066508769989
636,0.09214982390403748
637,0.07546607404947281
638,0.4010581374168396
639,-0.2835761308670044
640,0.27136072516441345
641,0.1716037392616272
642,0.26151683926582336
643,0.3299284875392914
644,0.5648511648178101
645,0.1741422861814499
646,0.17760919034481049
647,-0.10735812783241272
648,0.23635654151439667
649,-0.18891242146492004
650,0.1603572964668274
651,0.3471582531929016
652,0.5801045894622803
653,0.4621850252151489
654,0.34431779384613037
655,0.6976491212844849
656,-0.31364887952804565
657,-0.046387702226638794
658,0.047130707651376724
659,-0.07296865433454514
660,0.0756470337510109
661,0.5255018472671509
662,0.7308485507965088
663,0.24184468388557434
664,0.21796873211860657
665,0.21769505739212036
666,0.006338401231914759
667,0.5500317215919495
668,-0.03318599984049797
669,0.03145568445324898
670,0.4324147403240204
671,0.635890543460846
672,0.36296847462654114
673,0.3025795519351959
674,-0.17963695526123047
675,0.37744373083114624
676,0.36404916644096375
677,0.21824119985103607
678,0.29368576407432556
679,0.005147723481059074
680,0.46759116649627686
681,0.7679368853569031
682,0.13455082476139069
683,0.24011144042015076
684,0.1525469720363617
685,0.7964382767677307
686,0.06670369952917099
687,0.09807971864938736
688,0.2656688392162323
689,0.4401320219039917
690,0.3414030075073242
691,0.0065551758743822575
692,0.5622914433479309
693,0.5993424654006958
694,0.37325161695480347
695,-0.16090625524520874
696,0.4036599099636078
697,0.2853569984436035
698,0.6306331753730774
699,0.7273997664451599
700,0.7224518656730652
701,0.18498645722866058
702,0.4644570052623749
703,0.038410063832998276
704,0.6033703684806824
705,0.6235330104827881
706,0.023824097588658333
707,0.42793112993240356
708,0.43390265107154846
709,0.6057339906692505
710,0.22639472782611847
711,0.3560769259929657
712,0.5142830014228821
713,-0.06896377354860306
714,-0.0621170736849308
715,0.2449735552072525
716,0.40802326798439026
717,0.4230555295944214
718,0.16954666376113892
719,0.12544116377830505
720,0.4607568681240082
721,0.07220359891653061
722,0.5815788507461548
723,0.5327959656715393
724,0.5742186307907104
725,0.04528652876615524
726,0.5443922877311707
727,0.23821532726287842
728,0.5275465846061707
729,0.41888266801834106
730,0.5064523816108704
731,0.5299131274223328
732,0.12915755808353424
733,-0.0488617941737175
734,0.3066836893558502
735,-0.005740015301853418
736,0.2928679585456848
737,0.09334582090377808
738,0.5523136854171753
739,0.4340610206127167
740,0.5487189888954163
741,-0.1700480729341507
742,0.33236372470855713
743,0.20959681272506714
744,0.04774119704961777
745,0.3652729392051697
746,0.7444202303886414
747,0.5483151078224182
748,0.6231006383895874
749,-0.015758587047457695
750,0.20325051248073578
751,0.07064424455165863
752,0.04851866140961647
753,0.5170915722846985
754,0.7166793346405029
755,0.5547055006027222
756,0.661222517490387
757,0.19147813320159912
758,0.27266186475753784
759,0.3950599133968353
760,0.06003361940383911
761,0.46243584156036377
762,0.045514389872550964
763,0.24683551490306854
764,0.5133788585662842
765,0.13968537747859955
766,0.42956188321113586
767,-0.05690579488873482
768,0.6427263021469116
769,-0.1365320086479187
770,0.3114691972732544
771,0.7257863879203796
772,0.5926183462142944
773,0.33147794008255005
774,0.54127436876297
775,0.17888246476650238
776,-0.09434519708156586
777,0.5752297639846802
778,0.2990838587284088
779,0.2993094027042389
780,0.7488725781440735
781,0.6001193523406982
782,0.5170565843582153
783,0.2691015303134918
784,0.3112681806087494
785,0.36555641889572144
786,0.5098172426223755
787,0.45743948221206665
788,-0.14625222980976105
789,0.4605697989463806
790,0.21609081327915192
791,0.09200304746627808
792,0.7399819493293762
793,0.5633130669593811
794,0.9039941430091858
795,0.3430481553077698
796,0.10959597676992416
797,0.20844952762126923
798,0.07219229638576508
799,-0.04254890978336334
